"HOUSEHOLD DATA
 ANNUAL AVERAGES
 39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2025,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Umpires, referees, and other sports officials",0,–,0,–,0,–
Dancers and choreographers,7,–,4,–,3,–
Music directors and composers,29,–,23,–,6,–
Musicians and singers,22,–,10,–,12,–
"Disc jockeys, except radio",0,–,0,–,0,–
"Entertainers and performers, sports and related workers, all other",16,–,13,–,3,–
Broadcast announcers and radio disc jockeys,8,–,5,–,3,–
"News analysts, reporters, and journalists",67,1871,41,–,26,–
Public relations specialists,106,1830,30,–,77,1540
Editors,83,1381,34,–,49,–
Technical writers,49,–,22,–,26,–
Writers and authors,86,1439,33,–,53,1469
Interpreters and translators,30,–,8,–,22,–
Court reporters and simultaneous captioners,13,–,3,–,10,–
"Media and communication workers, all other",22,–,13,–,9,–
"Broadcast, sound, and lighting technicians",88,1465,76,1573,12,–
Photographers,54,1022,31,–,23,–
"Television, video, and film camera operators and editors",79,1800,60,1775,19,–
"Media and communication equipment workers, all other",2,–,2,–,0,–
Healthcare practitioners and technical occupations,7988,1534,2027,1840,5960,1464
Chiropractors,10,–,8,–,2,–
Dentists,62,3293,42,–,21,–
Dietitians and nutritionists,94,1342,12,–,83,1397
Optometrists,23,–,12,–,11,–
Pharmacists,274,2490,104,2520,170,2471
Emergency medicine physicians,20,–,15,–,5,–
Radiologists,12,–,5,–,7,–
Other physicians,781,3100,447,3133,334,2915
Surgeons,61,4749,45,–,16,–
Physician assistants,120,2408,25,–,96,2303
Podiatrists,4,–,4,–,0,–
Audiologists,18,–,3,–,15,–
Occupational therapists,104,1594,7,–,97,1595
Physical therapists,226,1743,81,1828,145,1710
Radiation therapists,11,–,1,–,10,–
Recreational therapists,10,–,1,–,9,–
Respiratory therapists,74,1366,26,–,48,–
Speech-language pathologists,129,1573,2,–,127,1546
Exercise physiologists,3,–,3,–,0,–
"Therapists, all other",173,1332,45,–,129,1331
Veterinarians,51,2302,17,–,34,–
Registered nurses,2896,1563,402,1900,2494,1517
Nurse anesthetists,13,–,3,–,10,–
Nurse midwives,7,–,0,–,7,–
Nurse practitioners,245,2373,22,–,223,2339
Acupuncturists,2,–,0,–,2,–
"Healthcare diagnosing or treating practitioners, all other",2,–,0,–,1,–
Clinical laboratory technologists and technicians,258,1233,94,1438,164,1183
Dental hygienists,108,1496,11,–,97,1421
Cardiovascular technologists and technicians,63,1198,17,–,46,–
Diagnostic medical sonographers,87,1786,13,–,74,1786
Radiologic technologists and technicians,223,1350,76,1478,147,1221
Magnetic resonance imaging technologists,66,1436,15,–,51,1425
Nuclear medicine technologists and medical dosimetrists,36,–,17,–,18,–
Emergency medical technicians,127,1013,84,1016,43,–
Paramedics,107,1636,80,1627,27,–
Pharmacy technicians,268,925,58,1030,210,909
Psychiatric technicians,95,1069,28,–,67,917
Surgical technologists,84,1231,21,–,63,1198
Veterinary technologists and technicians,108,835,14,–,93,849
Dietetic technicians and ophthalmic medical technicians,54,700,14,–,41,–
Licensed practical and licensed vocational nurses,451,1084,49,–,402,1085
Medical records specialists,163,1027,14,–,149,1006
"Opticians, dispensing",33,–,10,–,23,–
Miscellaneous health technologists and technicians,107,1204,40,–,67,1172
Other healthcare practitioners and technical occupations,122,1324,43,–,79,1262
,,,,,,
Service occupations,16040,790,7696,891,8344,732
Healthcare support occupations,3780,786,647,833,3134,779
Home health aides,364,752,41,–,323,752
Personal care aides,1067,748,218,767,849,743
Nursing assistants,1029,764,141,792,888,760
Orderlies and psychiatric aides,52,817,16,–,36,–
Occupational therapy assistants and aides,22,–,1,–,21,–
Physical therapist assistants and aides,78,1080,36,–,43,–
Massage therapists,55,904,23,–,32,–
Dental assistants,183,845,14,–,169,839
Medical assistants,557,862,57,1073,500,841
Medical transcriptionists,21,–,8,–,13,–
Pharmacy aides,28,–,10,–,19,–
Veterinary assistants and laboratory animal caretakers,41,–,10,–,31,–
Phlebotomists,112,800,15,–,98,803
Other healthcare support workers,170,933,58,1010,112,871
Protective service occupations,2854,1197,2277,1282,577,966
First-line supervisors of correctional officers,45,–,37,–,8,–
First-line supervisors of police and detectives,103,1890,89,1897,14,–
First-line supervisors of firefighting and prevention workers,52,1826,50,1841,1,–
First-line supervisors of security workers,69,1046,49,–,20,–
"First-line supervisors of protective service workers, all other",2,–,2,–,0,–
Firefighters,358,1555,341,1567,17,–
Fire inspectors,20,–,19,–,1,–
Bailiffs,15,–,11,–,4,–
Correctional officers and jailers,282,1220,219,1269,63,993
Detectives and criminal investigators,139,1649,88,1912,51,1331
Fish and game wardens,10,–,10,–,1,–
Parking enforcement workers,13,–,8,–,5,–
Police officers,719,1480,607,1534,112,1174
Animal control workers,8,–,5,–,3,–
Private detectives and investigators,127,1425,67,1820,60,1157
Security guards and gambling surveillance officers,761,819,590,843,171,787
Crossing guards and flaggers,21,–,16,–,5,–
Transportation security screeners,43,–,35,–,8,–
School bus monitors,11,–,1,–,11,–
Other protective service workers,54,837,33,–,21,–
Food preparation and serving related occupations,4224,701,2066,749,2158,664
Chefs and head cooks,411,951,305,964,106,920
First-line supervisors of food preparation and serving workers,404,784,174,863,230,740
Cooks,1250,690,705,707,545,660
Food preparation workers,468,651,209,660,259,647
Bartenders,217,1008,119,1197,97,841
Fast food and counter workers,356,610,125,617,232,608
Waiters and waitresses,735,662,233,752,502,633
"Food servers, nonrestaurant",90,697,28,–,62,678
Dining room and cafeteria attendants and bartender helpers,100,650,56,712,45,–
Dishwashers,119,622,97,602,21,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",70,605,12,–,57,583
"Food preparation and serving related workers, all other",4,–,3,–,1,–
Building and grounds cleaning and maintenance occupations,3562,761,2246,821,1316,685
First-line supervisors of housekeeping and janitorial workers,164,929,94,1014,70,879
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",86,1037,77,1134,9,–
Janitors and building cleaners,1655,761,1150,821,505,666
Maids and housekeeping cleaners,782,690,126,789,656,671
Pest control workers,81,969,76,963,6,–
Landscaping and groundskeeping workers,697,783,635,785,62,761
Tree trimmers and pruners,76,813,73,818,3,–
Other grounds maintenance workers,20,–,15,–,5,–
Personal care and service occupations,1620,762,461,858,1159,734
Supervisors of personal care and service workers,40,–,16,–,24,–
Animal trainers,8,–,2,–,6,–
Animal caretakers,169,733,34,–,134,676
Gambling services workers,71,1001,45,–,26,–
"Ushers, lobby attendants, and ticket takers",7,–,4,–,3,–
Other entertainment attendants and related workers,71,715,43,–,28,–
"Embalmers, crematory operators, and funeral attendants",5,–,3,–,2,–
"Morticians, undertakers, and funeral arrangers",30,–,10,–,20,–
Barbers,51,901,42,–,9,–
"Hairdressers, hairstylists, and cosmetologists",219,752,20,–,199,756
Manicurists and pedicurists,162,750,24,–,137,749
Skincare specialists,35,–,0,–,35,–
Other personal appearance workers,4,–,0,–,4,–
"Baggage porters, bellhops, and concierges",61,996,49,–,12,–
Tour and travel guides,18,–,13,–,5,–
Childcare workers,401,685,36,–,365,682
Exercise trainers and group fitness instructors,76,829,41,–,35,–
Recreation workers,110,756,40,–,70,752
Residential advisors,16,–,11,–,5,–
"Personal care and service workers, all other",65,724,28,–,37,–
,,,,,,
Sales and office occupations,21832,1010,9070,1183,12762,935
Sales and related occupations,9021,1112,5212,1258,3808,906
First-line supervisors of retail sales workers,2144,1080,1230,1197,914,927
First-line supervisors of non-retail sales workers,764,1417,472,1497,292,1265
Cashiers,1005,639,336,694,670,617
Counter and rental clerks,57,749,28,–,29,–
Parts salespersons,112,773,94,752,18,–
Retail salespersons,1550,913,978,1050,573,741
Advertising sales agents,115,1605,66,1428,48,–
Insurance sales agents,459,1254,205,1435,253,1087
"Securities, commodities, and financial services sales agents",156,2084,122,2382,34,–
Travel agents,53,1106,5,–,48,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",649,1571,463,1641,186,1263
"Sales representatives, wholesale and manufacturing",999,1453,710,1532,289,1272
"Models, demonstrators, and product promoters",9,–,0,–,9,–
Real estate brokers and sales agents,456,1253,204,1460,253,1180
Sales engineers,61,2797,50,2810,11,–
Telemarketers,18,–,12,–,7,–
"Door-to-door sales workers, news and street vendors, and related workers",98,908,62,1117,36,–
"Sales and related workers, all other",317,1179,178,1248,139,1085
Office and administrative support occupations,12812,981,3858,1113,8954,945
First-line supervisors of office and administrative support workers,1181,1184,395,1368,785,1114
"Switchboard operators, including answering service",4,–,1,–,3,–
Telephone operators,21,–,7,–,13,–
"Communications equipment operators, all other",2,–,2,–,0,–
Bill and account collectors,111,990,35,–,76,981
Billing and posting clerks,336,948,44,–,292,926
"Bookkeeping, accounting, and auditing clerks",890,1037,154,1196,736,1011
Gambling cage workers,19,–,4,–,15,–
Payroll and timekeeping clerks,154,1020,25,–,129,978
Procurement clerks,41,–,16,–,25,–
Tellers,183,827,36,–,147,826
"Financial clerks, all other",169,1441,104,1629,65,1235
Brokerage clerks,0,–,0,–,0,–
Correspondence clerks,13,–,6,–,7,–
"Court, municipal, and license clerks",55,1002,12,–,43,–
"Credit authorizers, checkers, and clerks",26,–,12,–,14,–
Customer service representatives,1928,934,683,1053,1244,903
"Eligibility interviewers, government programs",97,1115,25,–,72,1124
File Clerks,122,953,35,–,87,903
"Hotel, motel, and resort desk clerks",75,707,16,–,60,681
"Interviewers, except eligibility and loan",149,827,29,–,120,808
"Library assistants, clerical",26,–,3,–,23,–
Loan interviewers and clerks,78,1016,20,–,58,998
New accounts clerks,10,–,2,–,8,–
Order clerks,64,800,23,–,41,–
"Human resources assistants, except payroll and timekeeping",105,1065,19,–,85,1011
Receptionists and information clerks,871,820,89,843,782,817
Reservation and transportation ticket agents and travel clerks,120,910,74,1127,46,–
"Information and record clerks, all other",68,1019,13,–,54,987
Cargo and freight agents,21,–,20,–,1,–
Couriers and messengers,537,863,430,871,107,822
Public safety telecommunicators,80,1029,23,–,58,992
"Dispatchers, except police, fire, and ambulance",143,1007,53,1101,90,996
"Meter readers, utilities",22,–,19,–,3,–
Postal service clerks,102,1097,49,–,53,999
Postal service mail carriers,330,1254,229,1326,101,1148
"Postal service mail sorters, processors, and processing machine operators",41,–,15,–,26,–
"Production, planning, and expediting clerks",199,1293,103,1460,96,1124
"Shipping, receiving, and inventory clerks",510,882,322,909,188,799
"Weighers, measurers, checkers, and samplers, recordkeeping",72,914,34,–,38,–
Executive secretaries and executive administrative assistants,213,1423,13,–,200,1374
Legal secretaries and administrative assistants,35,–,0,–,35,–
Medical secretaries and administrative assistants,88,1011,0,–,88,1011
"Secretaries and administrative assistants, except legal, medical, and executive",1126,960,99,1298,1027,940
